directon,region,floor,house_price,zone,house_name,meters,xiaoqu,area
南        ,五棵松,低楼层（5层）,5000,2室1厅1卫,整租·永定路85号院2室1厅南,50㎡,永定路85号院,海淀
西        ,双桥,低楼层（22层）,4590,1室1厅1卫,整租·东一时区1室1厅西,72㎡,东一时区,朝阳
西南        ,卢沟桥,高楼层（22层）,3300,1室1厅1卫,整租·晓月新苑1室1厅西南,47㎡,晓月新苑,丰台
东        ,天宁寺,低楼层（6层）,4530,1室1厅1卫,整租·白菜湾社区1室1厅东,37㎡,白菜湾社区,西城
南 北        ,西关环岛,高楼层（6层）,2800,3室1厅1卫,整租·西环里3室1厅南/北,65㎡,西环里,昌平
东南        ,豆各庄,低楼层（23层）,5500,2室1厅1卫,整租·富力又一城C区2室1厅东南,89㎡,富力又一城C区,朝阳
南 北        ,北工大,中楼层（6层）,4700,1室1厅1卫,整租·平乐园小区1室1厅南/北,47㎡,平乐园小区,朝阳
东        ,广安门,高楼层（24层）,5800,1室0厅1卫,整租·远见名苑1室0厅东,53㎡,远见名苑,西城
北        ,鲁谷,低楼层（6层）,4190,1室1厅1卫,整租·永乐东区1室1厅北,33㎡,永乐东区,石景山
东 西        ,古城,高楼层（5层）,3400,2室1厅1卫,整租·古城特钢楼2室1厅东/西,41㎡,古城特钢楼,石景山
南        ,古城,高楼层（4层）,3400,1室1厅1卫,整租·古城路小区1室1厅南,27㎡,古城路小区,石景山
北        ,学院路,高楼层（27层）,6000,1室0厅1卫,整租·城华园1室0厅北,47㎡,城华园,海淀
西 北        ,赵公口,中楼层（22层）,4400,2室1厅1卫,整租·苗圃东里2室1厅西/北,71㎡,苗圃东里,丰台
南 北        ,亚运村,低楼层（6层）,5500,2室1厅1卫,整租·慧忠里2室1厅南/北,59㎡,慧忠里,朝阳
南        ,双桥,中楼层（29层）,5390,1室1厅1卫,整租·北花园小区1室1厅南,52㎡,北花园小区,朝阳
东        ,马坡,低楼层（14层）,3190,1室1厅1卫,整租·首开中晟广场1室1厅东,43㎡,首开中晟广场,顺义
北        ,常营,高楼层（21层）,4800,1室0厅1卫,整租·柏林爱乐二期1室0厅北,49㎡,柏林爱乐二期,朝阳
南        ,劲松,中楼层（6层）,6030,1室1厅1卫,整租·农光东里1室1厅南,41㎡,农光东里,朝阳
南 北        ,万达,高楼层（5层）,3100,2室0厅1卫,整租·东方生活区2室0厅南/北,56㎡,东方生活区,通州
西        ,东坝,中楼层（6层）,5130,2室1厅1卫,整租·康静里2室1厅西,59㎡,康静里,朝阳
南 北        ,乔庄,低楼层（6层）,3000,1室1厅1卫,整租·玉桥北里1室1厅南/北,60㎡,玉桥北里,通州
东        ,九棵树(家乐福),低楼层（22层）,3500,2室1厅1卫,整租·大方居2室1厅东,90㎡,大方居,通州
南        ,垡头,高楼层（6层）,4830,1室1厅1卫,整租·金蝉北里1室1厅南,51㎡,金蝉北里,朝阳
南        ,科技园区,高楼层（15层）,4300,1室1厅1卫,整租·欣葆家园二区1室1厅南,47㎡,欣葆家园二区,丰台
北        ,常营,中楼层（23层）,5130,1室1厅1卫,整租·北京像素南区1室1厅北,46㎡,北京像素南区,朝阳
南        ,定福庄,低楼层（6层）,5000,2室2厅1卫,整租·定福庄南里1号院2室2厅南,63㎡,定福庄南里1号院,朝阳
西        ,鼓楼大街,中楼层（10层）,3290,1室1厅1卫,整租·润杰大厦1室1厅西,36㎡,润杰大厦,昌平
东        ,永定门,中楼层（6层）,4700,1室1厅1卫,整租·西革新里110号院1室1厅东,45㎡,西革新里110号院,东城
西        ,田村,高楼层（6层）,4990,1室1厅1卫,整租·西山国际城1室1厅西,33㎡,西山国际城,海淀
南 北        ,石佛营,高楼层（6层）,6000,2室1厅1卫,整租·八里庄北里小区2室1厅南/北,61㎡,八里庄北里小区,朝阳
西        ,北苑,中楼层（20层）,5430,1室1厅1卫,整租·美立方1室1厅西,36㎡,美立方,朝阳
西        ,后沙峪,高楼层（13层）,3150,1房间1卫,整租·东亚创展国际1房间西,39㎡,东亚创展国际,顺义
南        ,牛街,高楼层（6层）,5990,1室1厅1卫,整租·双槐里1室1厅南,46㎡,双槐里,西城
南        ,欢乐谷,中楼层（15层）,4800,1室1厅1卫,整租·金蝉南里1室1厅南,49㎡,金蝉南里,朝阳
东        ,潞苑,高楼层（22层）,3400,2室1厅1卫,整租·中建雅颂居2室1厅东,92㎡,中建雅颂居,通州
东        ,常营,中楼层（11层）,6090,1室1厅1卫,整租·柏林爱乐一期1室1厅东,66㎡,柏林爱乐一期,朝阳
西        ,崇文门,中楼层（16层）,6000,1室1厅1卫,整租·前门东大街1室1厅西,45㎡,前门东大街,东城
南        ,赵公口,高楼层（6层）,3800,1室1厅1卫,整租·南顶村1室1厅南,47㎡,南顶村,丰台
南 北        ,东坝,高楼层（21层）,5700,3室1厅1卫,整租·金隅景和园3室1厅南/北,89㎡,金隅景和园,朝阳
南        ,花乡,中楼层（13层）,3500,1室0厅1卫,整租·银地家园1室0厅南,38㎡,银地家园,丰台
南        ,梨园,高楼层（6层）,3600,1室1厅1卫,整租·梨花园1室1厅南,45㎡,梨花园,通州
南        ,海淀北部新区,中楼层（15层）,4000,1室1厅1卫,整租·水岸温泉1室1厅南,65㎡,水岸温泉,海淀
南        ,枣园,低楼层（6层）,3300,1室1厅1卫,整租·枣园小区1室1厅南,46㎡,枣园小区,大兴
西        ,奥林匹克公园,低楼层（32层）,5860,1室1厅1卫,整租·天居园1室1厅西,44㎡,天居园,朝阳
南 北        ,大兴其它,低楼层（15层）,2800,2室1厅1卫,整租·蓝桥驿苑2室1厅南/北,80㎡,蓝桥驿苑,大兴
南        ,东坝,高楼层（16层）,5660,2室1厅1卫,整租·北京城建福润四季2室1厅南,75㎡,北京城建福润四季,朝阳
南 北        ,西三旗,高楼层（6层）,4300,1室1厅1卫,整租·轮胎厂宿舍1室1厅南/北,58㎡,轮胎厂宿舍,海淀
北        ,常营,高楼层（28层）,5990,1室1厅1卫,整租·北京新天地三期1室1厅北,66㎡,北京新天地三期,朝阳
北        ,顺义其它,中楼层（9层）,3300,1室1厅1卫,整租·旭辉26街区1室1厅北,27㎡,旭辉26街区,顺义
南 北        ,青塔,高楼层（6层）,4200,2室1厅1卫,整租·青塔秀园2室1厅南/北,60㎡,青塔秀园,丰台
