house_name,directon,xiaoqu,house_price,meters,region,floor,area,zone
整租·保利西山林语2室1厅南/西,南 西        ,保利西山林语,6000,91㎡,海淀北部新区,中楼层（8层）,海淀,2室1厅1卫
整租·碧森里1室1厅南,南        ,碧森里,4800,42㎡,田村,高楼层（10层）,海淀,1室1厅1卫
整租·加州水郡四期1室1厅南,南        ,加州水郡四期,2700,58㎡,长阳,中楼层（14层）,房山,1室1厅1卫
整租·芍药居北里2室1厅北,北        ,芍药居北里,6000,64㎡,芍药居,中楼层（24层）,朝阳,2室1厅1卫
整租·美然动力A3区1室0厅南,南        ,美然动力A3区,4900,52㎡,定福庄,中楼层（9层）,朝阳,1室0厅1卫
整租·农光里1室1厅南,南        ,农光里,4700,47㎡,劲松,高楼层（18层）,朝阳,1室1厅1卫
整租·五月华庭1室0厅北,北        ,五月华庭,5200,38㎡,新街口,中楼层（12层）,海淀,1室0厅1卫
整租·兴海园2室1厅南,南        ,兴海园,3500,76㎡,瀛海,低楼层（16层）,大兴,2室1厅1卫
整租·明光北里1室1厅南,南        ,明光北里,6000,45㎡,皂君庙,低楼层（18层）,海淀,1室1厅1卫
整租·大井东里2室1厅南,南        ,大井东里,4500,55㎡,岳各庄,中楼层（6层）,丰台,2室1厅1卫
整租·吴家村路10号院1室0厅南/北,南 北        ,吴家村路10号院,4500,50㎡,六里桥,中楼层（6层）,海淀,1室0厅1卫
整租·翠林二里1室1厅南,南        ,翠林二里,4600,43㎡,北京南站,高楼层（6层）,丰台,1室1厅1卫
整租·酒仙桥一街坊1室1厅南,南        ,酒仙桥一街坊,5000,43㎡,酒仙桥,高楼层（6层）,朝阳,1室1厅1卫
整租·东关北里小区2室1厅南/北,南 北        ,东关北里小区,3450,63㎡,东关,低楼层（6层）,昌平,2室1厅1卫
整租·八角南路1室0厅东,东        ,八角南路,2000,26㎡,八角,高楼层（5层）,石景山,1室0厅1卫
整租·黄村西里2室1厅南,南        ,黄村西里,3100,58㎡,黄村中,高楼层（5层）,大兴,2室1厅1卫
