floor,meters,zone,xiaoqu,directon,area,house_name,region,house_price
低楼层（6层）,59㎡,2室1厅1卫,高井,南 北        ,石景山,整租·高井2室1厅南/北,石景山其它,3300
中楼层（15层）,65㎡,1室1厅1卫,水岸温泉,南        ,海淀,整租·水岸温泉1室1厅南,海淀北部新区,4000
高楼层（4层）,56㎡,2室1厅1卫,富强西里,南 北        ,大兴,整租·富强西里2室1厅南/北,黄村中,3400
中楼层（16层）,47㎡,1室1厅1卫,西坝河北里,南        ,朝阳,整租·西坝河北里1室1厅南,西坝河,6000
中楼层（9层）,27㎡,1室1厅1卫,旭辉26街区,北        ,顺义,整租·旭辉26街区1室1厅北,顺义其它,3300
高楼层（5层）,41㎡,2室1厅1卫,古城特钢楼,东 西        ,石景山,整租·古城特钢楼2室1厅东/西,古城,3400
中楼层（6层）,55㎡,2室1厅1卫,大井东里,南        ,丰台,整租·大井东里2室1厅南,岳各庄,4500
中楼层（6层）,31㎡,2房间1卫,西山国际城,南        ,海淀,整租·西山国际城2房间跃层南,田村,4000
低楼层（6层）,46㎡,1室1厅1卫,枣园小区,南        ,大兴,整租·枣园小区1室1厅南,枣园,3300
低楼层（21层）,63㎡,1室1厅1卫,世纪东方城,西        ,朝阳,整租·世纪东方城1室1厅西,欢乐谷,5800
中楼层（4层）,27㎡,1室1厅1卫,八角路小区,南        ,石景山,整租·八角路小区1室1厅南,八角,2600
低楼层（5层）,54㎡,2室1厅1卫,翠微路2号院,南        ,海淀,整租·翠微路2号院2室1厅南,公主坟,6000
低楼层（6层）,52㎡,2室1厅1卫,电车厂宿舍,南        ,海淀,整租·电车厂宿舍2室1厅南,新街口,3000
中楼层（17层）,15㎡,3室1厅1卫,车道沟南里,西南        ,海淀,整租·车道沟南里3室1厅西南,紫竹桥,3500
高楼层（4层）,27㎡,1室1厅1卫,古城路小区,南        ,石景山,整租·古城路小区1室1厅南,古城,3400
高楼层（27层）,47㎡,1室0厅1卫,城华园,北        ,海淀,整租·城华园1室0厅北,学院路,6000
中楼层（12层）,67㎡,2房间1卫,i立方,东        ,大兴,整租·i立方2房间东,大兴其它,3000
高楼层（15层）,50㎡,1室1厅1卫,欣葆家园二区,南 北        ,丰台,整租·欣葆家园二区1室1厅南/北,科技园区,4000
低楼层（5层）,48㎡,2室1厅1卫,玉泉路16号院,南        ,海淀,整租·玉泉路16号院2室1厅南,玉泉路,5000
高楼层（21层）,89㎡,3室1厅1卫,金隅景和园,南 北        ,朝阳,整租·金隅景和园3室1厅南/北,东坝,5700
